product_handle,metafield_key,before,after
duraguard-coiled-usb-c-charge-sync-100w-1-5-meter-black-cable,product_features,"<ul> <li>Coiled USB-C cable provides the perfect way of connecting your devices without having a tangled cable mess </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Speed Data Transfer: Transfer m","<ul> <li>Coiled USB-C cable provides the perfect way of connecting your devices without having a tangled cable mess </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Speed Data Transfer: Transfer m"
duraguard-usb-c-right-angled-charge-sync-100w-1-2-meter-cable,product_features,"<ul> <li>Right Angled 90-Degree design, makes the USB-C to USB-C cable minimize strain by reducing bending stress and extending cable lifespan </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Spee","<ul> <li>Right Angled 90-Degree design, makes the USB-C to USB-C cable minimize strain by reducing bending stress and extending cable lifespan </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Spee"
duraguard-usb-c-to-hdmi-4k-60hz-cable-with-hdr,product_features,"<ul> <li>Operate HDMI 4K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.2</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 4K at 60Hz</li> <li>Reinforced with Kevlar� through the center of the cables core<","<ul> <li>Operate HDMI 4K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.2</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 4K at 60Hz</li> <li>Reinforced with Kevlar® through the center of the cables core<"
duraguard-usb-c-to-displayport-4k-60hz-cable,product_features,"<ul> <li>Operate DisplayPort 4K 60Hz external display such as monitor or projector to create extended or mirror mode with digital sound</li> <li>Reinforced with Kevlar� through the center of the cables core</li> <li>Resolution up to 4K at 60Hz</li> <li>Nylon braided outer sheath, strain relief and s","<ul> <li>Operate DisplayPort 4K 60Hz external display such as monitor or projector to create extended or mirror mode with digital sound</li> <li>Reinforced with Kevlar® through the center of the cables core</li> <li>Resolution up to 4K at 60Hz</li> <li>Nylon braided outer sheath, strain relief and s"
duraguard-usbc-to-hdmi-8k-60hz-cable-with-hdr-details-ss103,product_features,"<ul> <li>Operate HDMI 8K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.3</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 8K at 60Hz</li> <li>Reinforced with Kevlar� through the center of the cables core<","<ul> <li>Operate HDMI 8K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.3</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 8K at 60Hz</li> <li>Reinforced with Kevlar® through the center of the cables core<"
high-speed-hdmi-premium-certified-4k-60hz-cable,product_highlight,"<h3>2 Meter (6.56 feet) HDMI Premium Certified 4K 60Hz Cable </h3> <p>The latest EZQuest High Speed HDMI premium certified 4K 60Hz cable is based on HDMI� Specification 2.0 which supports video resolutions and refresh rates up to 4K. Static HDR formats are also supported, and bandwidth up to 18Gbps.","<h3>2 Meter (6.56 feet) HDMI Premium Certified 4K 60Hz Cable </h3> <p>The latest EZQuest High Speed HDMI premium certified 4K 60Hz cable is based on HDMI® Specification 2.0 which supports video resolutions and refresh rates up to 4K. Static HDR formats are also supported, and bandwidth up to 18Gbps."
dual-usb-c-multimedia-hub-13-ports,product_compatibility_html,"<ul> <li>Intel Based Mac�s with 2 USB-C Ports</li> <li>M1 Based MacBook Pro 13� and Air 2020*</li> </ul> <p>*Due to Apple M1 limitation on MacBook Pro 13� &amp; Air 2020, you can only use one extended external display.</p>","<ul> <li>Intel Based Mac’s with 2 USB-C Ports</li> <li>M1 Based MacBook Pro 13” and Air 2020*</li> </ul> <p>*Due to Apple M1 limitation on MacBook Pro 13” &amp; Air 2020, you can only use one extended external display.</p>"
45w-gan-usb-c-pd-wall-charger,product_compatibility_html,"<ul> <li>Laptops: <br> MacBook Pro 13�, 14 � 15� &amp;16�/ MacBook Air 13� &amp; 15� / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iP","<ul> <li>Laptops: <br> MacBook Pro 13”, 14” 15” &amp;16”/ MacBook Air 13” &amp; 15” / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iPa"
65w-gan-usb-c-pd-wall-charger,product_compatibility_html,"<ul> <li>Laptops: <br> MacBook Pro 13�, 14 � 15� &amp;16�/ MacBook Air 13� &amp; 15� / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iP","<ul> <li>Laptops: <br> MacBook Pro 13”, 14” 15” &amp;16”/ MacBook Air 13” &amp; 15” / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iPa"
usb-c-66w-car-charger-dual-port-with-display,product_features,"<ul> <li>Power Delivery: Loaded with 66W of charging power�the perfect match for the latest iPhone, iPad and MacBook Air 13-inch.</li> <li>Break the Speed Limit: Simultaneously charge 2 devices up to 1.5 hours faster than standard chargers, leaving them in the dust.</li> <li>Universal Compatibility:","<ul> <li>Power Delivery: Loaded with 66W of charging power—the perfect match for the latest iPhone, iPad and MacBook Air 13-inch.</li> <li>Break the Speed Limit: Simultaneously charge 2 devices up to 1.5 hours faster than standard chargers, leaving them in the dust.</li> <li>Universal Compatibility:"
